id,question,bcss_answer,source,
10358,How to add a bolt-on data plan feature?,"1.	From the BAN folder, click the Agreement tab.
•	If upgrading from one data plan to another, proceed to step 4.
2.	From the Agreement tab, remove all existing PPU features that the data package plan replaces.
•	To remove, highlight the feature and click Delete.
•	To select more than one feature, hold the Shift key on the keyboard while selecting the desired feature(s).
•	Remove/expire features by entering the date in the Expire field and clicking Save.
3.	On the Options toolbar, click Save.
4.	From the Agreement tab:
a.	Click List to open the Services List window.
b.	Select the added feature and click OK.
c.	Review the Rate Plan details to ensure you are adding the correct plan code.
•	Eligibility for international roaming data plans are the same as any international roaming voice feature.
5.	To ensure proper compensation, in the Comp field, enter the comp code of the individual who made the sale.
•	BMC: Use comp code BMGCA.
•	BME: See Commission Codes - BCSS
6.	In the Effective field, enter the effective date.
•	If changing a link feature and the error message, Group-level Shared SOCs cannot be deleted appears while attempting to remove PPU features, remove the features at the group level before attempting provisioning.
7.	On the Options toolbar, click Save.",Add Standalone and Bolt-on Data Plans Features - Telegence - NBI - BCSS.html,
10390,Why are some customers charged with Advanced Payments for business internet service?,Selling Contoso Internet to High and Unknown credit risk customers requires an advance payment of $100 or $200.  ,Advance Payments for Contoso Internet for Business - BCSS.html,
20112,What devices are eligible for trade in to get a newer phone?,"Devices w/ min. Trade-In of $35+

    Trade-in required: 
        $35+ min. TiV (i8/Pixel 4 & Above) 

Apple iPhone: Apple iPhone: 8, 8+, iPhone SE (2nd Gen), X, XR, XS, XS Max, 11, 12 mini, iPhone SE (3rd gen), 11 Pro, 11 Pro Max, 12, 12 Pro, 12 Pro Max, 13, 13 mini, 13 Pro, 13 Pro Max, 14, 14 Plus, 14 Pro, 14 Pro Max
Samsung Galaxy: A23, A23 5G, A32, A32 5G, A42 5G, A51 5G, A52, A52s, A52 5G, A53, A70, A71, A71 5G, A72, M52 5G 
Google: Pixel 4, 4 XL, 4a, 5, 5a, 6a, 6, 6 Pro, 7, 7Pro
LG: Stylo6, V50 ThinQ™, V60 ThinQ™, WING™ 5G
OTHER: One Plus 7, OnePlus 7 Pro, OnePlus 7 Pro 5G, OnePlus 7T, OnePlus 7T Pro 5G, OnePlus 8 5G, OnePlus 8 Pro, OnePlus 8T, OnePlus 8T+, One Plus 8, OnePlus 9 5G, OnePlus 9 Pro 5G, OnePlus 10 Pro, Moto G Stylus, Moto G Stylus 5G, Moto Edge, Moto Edge+, Asus Rog Phone 3, ZTE Red Magic 3, Microsoft Surface Duo, OnePlus 9 5G, OnePlus 9 Pro 5G, OnePlus 10 Pro, Moto razr 5G, Redmi Note 10 Pro, Moto edge+ 5G UW",Android Smartphone Trade-In Offer - BCSS.html,
50277,What happens if a customer opts in for a trade-in promotion?,"The customer will receive an email regarding the promotion once the eligible device ships, including a link to print their own prepaid self-service shipping label.",Android Smartphone Trade-In Offer - BCSS.html,
10224,what is the best deal on an adroid phone?,"Samsung

    S23 128GB Retail Price $800
    S23 256GB Retail Price $860
    S23+ 256GB Retail Price $1,000
    S23+ 512GB Retail Price $1,000
    S23 Ultra 5G 256GB Price $1,200
    S23 Ultra 5G 512GB Price $1,380
    Z Flip5 256GB Full Retail Price $1,000
    Z Flip5 512GB Full Retail Price $1,120
    Z Fold5 256GB Full Retail Price $1,800
    Z Fold5 512GB Full Retail Price $1,920

Google

    Pixel 7 128GB Retail Price $740
    Pixel 7 256GB Retail Price $840
    Pixel Fold 256GBGB Retail Price $1880
    Pixel Fold 512GB Retail Price $1980 Up to $1,000 Off

Pixel Fold
Contoso Installment Plan (36 mos.)	$27.78
EIP24	$41.67
EIP30	$33.34
EIP36	$27.78

 

Up to $800 Off
Contoso Installment Plan (36 mos.)	$22.23
EIP24	$33.34
EIP30	$26.67
EIP36	$22.23

 

Up to $740 Off

Pixel 7
Contoso Installment Plan (36 mos.)	$20.56
EIP24	$30.84
EIP30	$24.67
EIP36	$20.56                                                                                                                 ",Android Smartphone Trade-In Offer - BCSS.html,
10348,How do CRUs enroll in the Apple ABM?,"Eligible customers must first enroll with Apple at https://business.apple.com/#enrollment. If customers have already enrolled with Apple and are inquiring about the Contoso reseller ID, refer to the on-boarding procedures above. ",Apple Device Enrollment Program (DEP).html,
50078,How do I enroll in ABM through Apple?,Give the customer the Apple DEP portal link: https://business.apple.com/#enrollment and tell them to add Contoso as a reseller when they enroll. Reseller ID: 722D390.,Apple Device Enrollment Program (DEP).html,
50077,What is Apple Business Manager (ABM)?,"Apple Business Manager (ABM) (formerly Apple ""DEP"") provides a fast, streamlined way for CRU customers to easily deploy and manage new iOS devices purchased from Contoso.",Apple Device Enrollment Program (DEP).html,
40115,How can business customers add/remove the Contoso Business International Calling package?,"Online at att.com/myContoso or www.att.com/premier, call Customer Service at 800.331.0500, contact their account representative, or visit any Contoso Retail location.",Contoso Business International Calling - BCSS.html,
40116,How can customers calculate how many minutes they have used on the Business International Calling package?,"They can see ILD usage online via their account management portal. Representatives can look in Telegence and view the unbilled ILD usage for the month. If a customer has crossed the bill cycle, refer to the last bill image.",Contoso Business International Calling - BCSS.html,
40118,How does Contoso Business International Calling work with a domestic voice plan where minutes are capped?,"Some domestic voice plans have capped minutes that don't include ILD charges. For example, if a customer is on a voice plan with 500 minutes and they exceed those 500 minutes in a month, they incur overage charges under their plan for the excess airtime minutes regardless of where they call.",Contoso Business International Calling - BCSS.html,
10080,What are the details for Business International Calling?,"•	MRC - $15/mo. per line
•	SOC - ILDBWCADV
•	Unlimited calling* from the U.S. to over 80 countries (rated at $0/minute).
•	Discounted calling from the U.S. to over 140 additional countries.
•	For details on available countries and rates, visit http://att.com/internationalcalling. (at the ""See eligible countries and rates"" link)
•	Incompatible with:
o	
	ICR – Call restriction SOC
	ICR1– Call restriction SOC
	ICR2– Call restriction SOC		ILDWCADV – Contoso International Calling
	ILNYDR – Contoso Dominican Republic
	ZZNOILD – ILD restriction SOC
	ZZNOILD2 – ILD restriction SOC (formerly ZZNOILD)
*Unlimited calling requires a domestic plan that includes unlimited domestic calling. If the customer has a domestic calling plan with capped minutes, all international long distance calls with Business International Calling count against the domestic plan’s monthly allowance and may result in overage charges.
For more information on Contoso Business International Calling, click here.
",Contoso Business International Calling - BCSS.html,
40117,What happens if a customer wants to add/remove the Business International Calling package from their account before their monthly bill cycle ends?,Adding or removing the service mid-bill cycle results in a proration of the monthly fee. All calls made before the feature is added or after it's removed are at higher PPU rates.,Contoso Business International Calling - BCSS.html,
40105,Can customers participate in the national trade-in promotions with Contoso Business Trade-In?,"Effective April 18, 2019, customers will be able to participate in national trade-in promotions within the buy flow in Premier only. For example, customers who purchase a specific device model with Premier and trade-in an eligible device will receive the promotion. This functionality to link the new device purchase with the trade-in to qualify the customer will only be available in Premier.",Contoso Business Trade-In Program - BCSS.html,
40103,Can TCMs configure their own quotes?,"Yes, they can also access the Contoso Business Trade-In Program through links on the Device Order Confirmation Page and in both Premier Online Store (POS) and Premier Online Care (POC). The links appear in POC, under the Account Management tab and under Quick Links. ",Contoso Business Trade-In Program - BCSS.html,
40104,Can TCMs trade in devices from other carriers?,"Yes, they can. Contoso Business Trade-In can process devices and provide credit for devices from any carrier.",Contoso Business Trade-In Program - BCSS.html,
40106,Can the trade-in requests be tracked?,"Yes, customers can track the progress of their trade-in. Refer them to the email they received related to their trade-in request. If they have additional questions, they can contact Contoso Business Trade-In Support at 866.993.5800 (Monday-Friday, 9 a.m. - 5 p.m. CT) or email at support@attbusinesstradein.com.",Contoso Business Trade-In Program - BCSS.html,
40107,Does Contoso accept devices shipped from International locations?,"Yes, Contoso accepts devices from the continental U.S., Hawaii, Alaska, Puerto Rico, and the U.S. Virgin Islands. Contoso doesn't accept those shipped from international locations (at this time). If a customer can aggregate all the devices back to the U.S. first, Contoso can accept the trade-ins shipped domestically.",Contoso Business Trade-In Program - BCSS.html,
10140,How can I trade in our old devices? ,"The Contoso Business Trade-In program enables CRU Business customers in all segments to earn credits on their Contoso wireless BAN for mobile devices returned to Contoso.
 - When customers are upgrading lines, porting in lines, or have devices they're no longer using, use the tool to configure a quote for device trade-ins to help them offset the costs of any new Contoso equipment or service purchases.
 - No purchase is necessary to take advantage of the tool.
 - Win more business faster by offering trade-ins to your customers: The value from the devices can be used to invest in new solutions, including devices, Mobile Protection Pack for Business, AMAs, security, and so on.",Contoso Business Trade-In Program - BCSS.html,
50212,How do I enter the number of devices I want to trade-in?,"In the Quantity field, enter the number of devices and click Add Device. The quantity of 1 is the default.",Contoso Business Trade-In Program - BCSS.html,
40113,How many billing cycles do the credits take to apply?,"Once the devices are received, the credits are usually applied within 2 billing cycles. If they ship the devices from multiple locations and at various times, Contoso doesn't wait until receiving all the devices to apply the credits; they're applied as the devices complete the process.",Contoso Business Trade-In Program - BCSS.html,
40109,"If Contoso doesn't accept a specific device once it is received, do they ship it back at no cost?","Once received, Contoso doesn't ship devices back to the customer; we communicate that policy in the T&Cs. If a device is shipped that isn't currently in our catalog, Contoso destroys and recycles it, and the value is $0.",Contoso Business Trade-In Program - BCSS.html,
40112,Must customers include a packing slip when they ship?,"No, there's no need for customers to include a packing slip and Contoso doesn't provide one in the packaging. Contoso's processing/receipt system at the warehouse scans the tracking number on the return label and then ties that back to the location/address on that specific quote that the devices came in from. This is one of the reasons why it is critical they only use the Contoso Business Trade-In prepaid shipping labels provided to them.",Contoso Business Trade-In Program - BCSS.html,
40110,What happens if a customer sends the device back beyond the 30 days after they accept the T&Cs?,"When you send the quote to the customer, they have 75 days to accept it. Once accepted, they must return it within 30 days to be eligible for the maximum trade-in value on their quote. Contoso still processes each device received, but it would be potentially repriced to the current devices' fair market value if received after 30 days from when they accepted the T&Cs. They see the adjustment message received more than 30 days after trade-in date in the reporting that is available to them at the device level. Contoso doesn't send proactive alerts, and it wouldn't be in the bill credit detail.",Contoso Business Trade-In Program - BCSS.html,
40111,What if a customer returns a device that wasn't in the quote? Does Contoso still accept the device and give them the current value for it?,"Yes, all devices received are processed towards the customer's quote, regardless of what is sent or when it was receved. The device is evaluated based upon current trade-in fair market values and accounted for in their device level reporting. ",Contoso Business Trade-In Program - BCSS.html,
40114,What kind of reporting is provided to the customer regarding the status of the devices returned?,"Customers receive emails with instructions for returning the devices, and can check the device's status by shipping location every step of the way under Trade-In Reports. Device Status - Screenshot  Customers can access the final post-inspection value amount by device model and IMEI, which includes the adjustment reason if the amount is lower than the quote amount.",Contoso Business Trade-In Program - BCSS.html,
40102,Who can use the Contoso Business Trade-In program?,"Currently, all CRU business segment telecom managers (TCMs) can trade in devices.",Contoso Business Trade-In Program - BCSS.html,
40108,"Will Contoso pay anything for devices that have some damage (cracked screens, water damage)?","The Contoso Business Trade-In program accepts the devices no matter what condition they're in, and the inspection determines its value (can it be fixed and reused). Whatever the outcome, the post-inspection value reflects that, and its disposition is provided to the customer within the quote details found under Trade-In Reports on their portal.",Contoso Business Trade-In Program - BCSS.html,
40100,Are taxes applied to Cell Booster/Pro devices? ,"Yes, applicable taxes are applied.",Contoso Cell Booster & Cell Booster Pro - BCSS.html,
40096,Can Cell Booster/Pro be purchased on an installment plan? ,"No, Installment billing is not available.",Contoso Cell Booster & Cell Booster Pro - BCSS.html,
10102,How can I help a customer with poor coverage in their home? ,"The Contoso Cell Booster and Cell Booster Pro serve as a small 4G LTE cell tower in the home or office that uses the customer's broadband Internet connection to carry the call or data traffic to the Contoso network when customers experience difficulty with in-home coverage.

Important Provisioning Note:

Contoso Cell Booster & Cell Booster Pro are provisioned as an accessory. Go to the Accessory Tab in OPUS and search via the SKU's (Cell Booster - 6968C / Cell Booster Pro - 6276D).",Contoso Cell Booster & Cell Booster Pro - BCSS.html,
40099,How is the Cell Booster/Pro shipped? Is it overnight? Is there a charge for shipping? ,"This is BAU. Upon product selection, the customer can choose how they want to ship the product. If an escalated shipping method is chosen, additional charges may apply.",Contoso Cell Booster & Cell Booster Pro - BCSS.html,
40101,"If customer only purchases a Cell Booster/Pro accessory, is there a shipping charge? ","This should be BAU for accessory. Upon product selection, the customer can choose how they want to ship the product. If an escalated shipping method is chosen, additional charges may apply.  ",Contoso Cell Booster & Cell Booster Pro - BCSS.html,
40098,"Is Cell Booster/Pro discountable? (Promo discounts, FAN discounts, and so on)?",Cell Booster/Pro are not eligible for Promo or FAN discounts.,Contoso Cell Booster & Cell Booster Pro - BCSS.html,
40097,What are the methods a customer can be billed for Cell Booster/Pro? ,Billing Methods: Currently only Bill to Mobile & Credit Card bill are available (unless something is called out specifically in the customer's contract),Contoso Cell Booster & Cell Booster Pro - BCSS.html,
50105,What does the Contoso Cell Booster App allow customers to do?,"The Contoso Cell Booster App allows customers to register and activate a new Contoso Cell Booster, manage registered devices, add/delete location address, disconnect device, manage notification settings, add/delete secondary admin user, and troubleshoot Contoso Cell Booster App issues.",Contoso Cell Booster & Cell Booster Pro - BCSS.html,
50104,What equipment is compatible with the Contoso Cell Booster?,"Compatible equipment includes 5G Sub-6GHz, 5G+ (mmWave), 4G LTE, or LTE-capable phones, Connected Wearables, Tablets and Laptops, and Wireless Home Phone.",Contoso Cell Booster & Cell Booster Pro - BCSS.html,
40084,Are the Contoso Cell Booster compatible with devices like the Apple iPad?,"Yes, connected tablets, wearables and laptops are compatible with the Contoso Cell Booster. ",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40079,Can a customer register and activate more than one Contoso Cell Booster device?,"YES, customers can have up to 3 Contoso Cell Boosters at a given location address.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40094,"Can a customer use the same voice, SMS, MMS, and data services while on the Cell Booster that they can use while on the Contoso network?","Yes. Customers who are using a Cell Booster can use their phone for voice, SMS, MMS messaging, and data. While customers can use the Cell Booster for their data connection, Wi-Fi is recommended if available. Location based services may not function properly while using a Cell Booster.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40087,Can a customer use Wi-Fi Calling if they also have a Cell Booster?,"Yes, and Wi-Fi calling will take priority over wireless traffic of the Contoso Cell Booster if enabled.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40077,Can the customer manage their Contoso Cell Booster online or thru an app?,"Yes to both! We strongly encourage customers to scan the QR code on the box or the device (same QR Code) to download the app, or they can go to att.com/cellbooster.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40089,Can the customer restrict access to their Contoso Cell Booster device? Is it secure?,"Yes. Only Contoso phones can connect and the customer can restrict/remove devices. Customers need to use an Contoso 4G, LTE, 5G Sub-6GHz, or 5G+ (mmWave) device.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40095,Does an Contoso Cell Booster work the same as a signal booster?,No. The Contoso Cell Booster works like a small cell tower in the home and does not operate like a signal booster. Cell Booster: The Contoso Cell Booster works like a small cell tower and generates its own signal. Signal Booster: A signal booster works by amplifying existing signal from an Contoso cell tower.,Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40093,Does the Contoso Cell Booster potentially cause issues for other Contoso wireless customers?,"Any device that broadcasts radio frequency has the potential for interference. This is true even of our wireless macro network. We cannot guarantee zero interference, but the Contoso Cell Booster is designed to limit interference to the minimal possible levels. As new devices enter the market, we constantly take feedback to our internal and partners' technical teams about how devices perform while connected to the Contoso Cell Booster.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40083,Does the customer have to be in an area that already offers 4G LTE service?,"No. The customer would need to be in an area where Contoso offers wireless service and where Contoso Cell Booster coverage is available. The area, however, must have Contoso spectrum. ",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40085,Does the customer need to have a valid email address to register an Contoso Cell Booster ?,"No, but the Cell Booster(s) must have an E911 registered physical location address. Post office box and rural route addresses are not valid.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
50315,How can customers add another location or move their device to another location?,"Customers can add another location or move their device to another location by selecting the location where they want to move their Cell Booster and clicking on the + sign to add the new location. They will then need to fill out the address fields and a location nickname. To move a device to another location, the customer needs to disconnect the device at their current location.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
50316,How can the customer disconnect their device?,"The customer can go to the Home page and select the red Disconnect button. They will then see a message asking them to confirm that they want to disconnect the device. If they click Yes, the Cell Booster Disconnected screen will appear. They can also click Cancel if they decide not to disconnect the device.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40080,How do I know if Cell Booster service is available in the customer's area?,Check Contoso Cell Booster availability at TBD and select Check Service Area to determine service eligibility.,Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40090,How does the Contoso Cell Booster meet E911 requirements?,"The Contoso Cell Booster go through a registration and activation process verifying its location via GPS and discovery of nearby cell towers. In addition to normal wireless 911 information, the registered location address is passed to the local emergency authorities in the event of a 911 call.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40086,How many phones can use Cell Booster at the same time?,Up to 8 people can use the Cell Booster at the same time.,Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40091,"If the customer starts a call away from the Contoso Cell Booster device and then comes within range, does the call move to the Contoso Cell Booster device? How about billing?","Yes, Call initiated on a cell tower do transfer to the Contoso Cell Booster device. Standard wireless voice plan billing applies.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40092,"If the customer starts a call on the Contoso Cell Booster device and leaves their home, does the call continue uninterrupted? How about billing?",Yes. Calls seamlessly transfer from the Contoso Cell Booster device to the strongest Contoso cell tower signal if the signal is strong enough to carry the call. Billing continues based on the initial connection placed on the Contoso Cell Booster device.,Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40078,Should I make changes to the customers profile online?,Do not make changes to the Contoso Cell Booster profile on the customer's behalf unless absolutely necessary. Encourage the customer to make any changes themselves.,Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40088,What is the range of the Contoso Cell Booster device?,"The signal range of the Contoso Cell Booster is approximately 30 feet from the base station (in all directions) or about 3,000 square feet.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40082,What kind of phone does the customer need to work with the Contoso Cell Booster device?,"An Contoso 4G, LTE, 5G Sub-6GHz or 5G+ (mmWave) phone or Wireless Home Phone (WHP) is required to work with the Contoso Cell Booster devices. A phone from another provider that has been unlocked will work with the Contoso Cell Booster once it has an Contoso-branded SIM card.",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
40081,What type of Internet service and Internet speed is required for the Cell Booster?,"Contoso Cell Booster is compatible with DSL, Contoso Internet, and cable broadband service (satellite and wireless broadband are not compatible). However, downstream speeds of 1.5Mbps and upstream speeds of 256Kbps are required for Cell Booster. ",Contoso Cell Booster & Cell Booster Pro Activation and Manage Settings - BCSS.html,
50346,How can a customer return a Cell Booster or Cell Booster Pro device?,"To return the device, the customer should deactivate their Cell Booster or Cell Booster Pro device in the customer Web portal accessible at att.com/cellbooster, then return the device in the original packaging with all original contents using the return label included in the original shipment. If the customer cannot locate the return label, they should see Equipment Returns - BCSS. Restocking fees apply.",Contoso Cell Booster and Cell Booster Pro Call Handling Matrix - Enhanced Care and BMTS.html,
10384,What is a cell booster?,The Contoso Cell Booster and Cell Booster Pro serve as a small 4G LTE cell tower in the home or office that uses the customer's broadband Internet connection to carry the call or data traffic to the Contoso network when customers experience difficulty with in-home coverage.        ,Contoso Cell Booster and Cell Booster Pro Call Handling Matrix - Enhanced Care and BMTS.html,
50345,What time should an installation appointment not be scheduled for?,An installation appointment should not be scheduled for a date that falls on a calendar/company holiday.,Contoso Cell Booster and Cell Booster Pro Call Handling Matrix - Enhanced Care and BMTS.html,
40075,Do I have to wait for the Offer Element to appear in FaST before activating new line,"No, as soon as the approval email is received, new activations can be processed in OPUS.",Contoso Closing Tool (ACT) - BMC.html,
10330,How long does it take for the customer to see the ACT on their bill?,"Provide the total credit per line.
It can take up to 4 billing cycles for ACT Envelope Credits to appear on the bill. 
ACT Envelope Credits display as Wireless Activation Credit on the bill.
A separate credit displays for each new activation / CTN in the Payments & Adjustments section.",Contoso Closing Tool (ACT) - BMC.html,
40076,s the Offer Element removed from the FaST profile when it expires?,Offer Element stays in the FaST profile but shows as expired.,Contoso Closing Tool (ACT) - BMC.html,
40074,What happens when the request is denied?,Submitter receives an email detailing why it was denied and the next steps.,Contoso Closing Tool (ACT) - BMC.html,
50067,What are the primary features of the Connected Car Wi-Fi Hotspot?,"The primary features of the Connected Car Wi-Fi Hotspot are 4G LTE wireless connectivity on the strongest LTE network with fast data speeds, built-in vehicle connectivity with a powerful vehicle antenna, Wi-Fi hotspot for convenient, affordable wireless connectivity, the option to connect up to 7 devices, and the ability to maintain a connection up to 50 feet from the vehicle.",Contoso Connected Car Wi-Fi Hotspot for Business Call Handling - BCSS.html,
10374,Who supports the Contoso Connected Car Wi-Fi Hotspot for business customers?,"BM IoT provides Tier 1 provisioning, billing, and connectivity support. Their contact number is 866.563.4703 or customers can call the main 800.331.0500. If the customer enters the phone number associated to the vehicle into the IVR, it routes correctly.
If you are not an BM IoT representative refer to the BM IoT Call Handling and Tracking - Non-ASCS policy in Related Links to determine transfer procedures. Access to articles in Related Links is restricted based on your CCKM profile.
Note: It is mandatory to transfer calls to BM IoT during normal business hours. Refer to the Directory for details.   ",Contoso Connected Car Wi-Fi Hotspot for Business Call Handling - BCSS.html,
40065,"Can a customer have a Business Passport package or International Day Pass (IDP) for Business on their line of service, along with the cruise OTC package?","Yes. Cruise OTC packages are compatible with all other calling, messaging, and data international roaming packages, including IDP and Passport packages. Note that Cruise packages only include usage ON the cruise ship; they do NOT include usage while in port or on land. ",Contoso Cruise One-Time Charge (OTC) Packages - BCSS.html,
40070,Do customers with Contoso Cruise Ship packages receive landing messages?,"Yes, customers with an Contoso Cruise package will receive a landing message when they register on a participating cruise ship. Business customers without an Contoso Cruise package will not receive a message asking if they would like to buy an Contoso Cruise package when they register on a participating cruise ship. If a customer is on a non-qualifying cruise ship, customers will receive a pay-per-use message. ",Contoso Cruise One-Time Charge (OTC) Packages - BCSS.html,
40066,Does a customer traveling on a River cruise qualify for a Cruise package?,"No. Most river cruises typically travel within a country and do not travel far from land. Customers on river cruises are connected to the wireless carrier in the country they are in. These customers should be offered International Day Pass for Business or Business Passport, based on the countries they are visiting. ",Contoso Cruise One-Time Charge (OTC) Packages - BCSS.html,
40067,"How does billing occur if a customer has International Day Pass (IDP) or an International Roaming Passport package with talk, text, and data plus a Cruise package? To which package is the usage applied?","On-shore usage is rated by the current IDP or Passport package:  For example, if a customer has IDP and a Cruise OTC package, usage onshore would be rated by IDP, and subject to charge of the daily fee. ",Contoso Cruise One-Time Charge (OTC) Packages - BCSS.html,
40072,"If a customer is cruising to Canada (Alaska cruises may stop in Canada) or Mexico on a qualifying ship, and needs more calling minutes, would it be beneficial for them to add International Day Pass (IDP) or the Canada/Mexico Travel Minutes package in addition to their Contoso Cruise Ship calling package?","It depends. Always check your customer's domestic plan benefit prior to adding an additional package for onshore usage. Qualified domestic plans now include talk, text, and data while traveling in Mexico and/or Canada. For customers with a qualifying domestic rate plan, onshore usage in Canada and/or Mexico applies against their rate plan.",Contoso Cruise One-Time Charge (OTC) Packages - BCSS.html,
